time,h2_top,h1_bot
2.13,14967.46,3599.78
2.14,15157.2,3634.75
2.15,15346.75,3672.21
2.16,15546.84,3710.55
2.17,15746.06,3745.77
2.18,15949.22,3787.43
2.19,16152.09,3823.3
2.2,16351.38,3862.84
2.21,16547.67,3898.31
2.22,16746.75,3937.08
2.23,16949.03,3977.79
2.24,17152.4,4017.54
2.25,17360.87,4058.04
2.26,17573.91,4097.45
2.27,17788.73,4138.8
2.28,18007.27,4181.72
2.29,18221.21,4224.2
2.3,18432.24,4264.42
2.31,18642.78,4305.73
2.32,18857.55,4348.26
2.33,19075.45,4391.48
2.34,19291.16,4433.69
2.35,19513.68,4477.56
2.36,19738.06,4522.39
2.37,19967.04,4566.53
2.38,20201.41,4611.49
2.39,20432.62,4654.78
2.4,20659.58,4702.29
2.41,20886.1,4743.67
2.42,21111.81,4792.65
2.43,21345.19,4838.98
2.44,21575.04,4885.33
2.45,21811.37,4931.09
2.46,22048.19,4979.04
2.47,22291.05,5026.45
2.48,22540.17,5076.7
2.49,22784.06,5123.17
2.5,23030.12,5172.52
2.51,23272.18,5222.76
2.52,23512.27,5273.1
2.53,23756.72,5321.33
2.54,24006.23,5373.07
2.55,24252.19,5422.77
2.56,24501.12,5472.79
2.57,24757.49,5526.54
2.58,25017.96,5576.09
2.59,25278.58,5629.47
2.6,25546.87,5681.42
2.61,25805,5738.14
2.62,26065.07,5786.78
2.63,26321.43,5842.99
2.64,26581.58,5896.29
2.65,26846.87,5952.01
2.66,27110.68,6008.03
2.67,27375.3,6062.74
2.68,27645.48,6118.24
2.69,27918.15,6173.19
2.7,28195.03,6229.84
2.71,28481.44,6286.7
2.72,28760.04,6344.47
2.73,29040.44,6403.4
2.74,29315.87,6461.07
2.75,29590.24,6520.22
2.76,29871.45,6580.06
2.77,30153.09,6640
2.78,30435.68,6700
2.79,30718.85,6758.27
2.8,31003.88,6819.44
2.81,31295.81,6878.51
2.82,31590.03,6941.23
2.83,31893.06,7002.63
2.84,32189.15,7065.36
2.85,32486.88,7130.5
2.86,32781.17,7194.19
2.87,33076.55,7255.29
2.88,33372.48,7319.96
2.89,33674.3,7386.99
2.9,33976.97,7449.69
2.91,34278.3,7514.66
2.92,34580.74,7582.25
2.93,34889.32,7648.66
2.94,35202.27,7712.93
2.95,35514.9,7779.54
2.96,35842.59,7846.95
2.97,36160.75,7913.89
2.98,36477.14,7984.75
2.99,36791.09,8051.81
3,37105.34,8122.63
3.01,37423.38,8193.41
3.02,37741.39,8263.27
3.03,38065.05,8332.69
3.04,38390.2,8404.33
