tempo,q
13.77,3.08E-03
13.78,3.08E-03
13.79,3.07E-03
13.8,3.07E-03
13.81,3.07E-03
13.82,3.06E-03
13.83,3.06E-03
13.84,3.05E-03
13.85,3.05E-03
13.86,3.05E-03
13.87,3.04E-03
13.88,3.04E-03
13.89,3.03E-03
13.9,3.03E-03
13.91,3.03E-03
13.92,3.02E-03
13.93,3.02E-03
13.94,3.01E-03
13.95,3.01E-03
13.96,3.01E-03
13.97,3.00E-03
13.98,3.00E-03
13.99,2.99E-03
14,2.99E-03
14.01,2.99E-03
14.02,2.98E-03
14.03,2.98E-03
14.04,2.97E-03
14.05,2.97E-03
14.06,2.97E-03
14.07,2.96E-03
14.08,2.96E-03
14.09,2.95E-03
14.1,2.95E-03
14.11,2.95E-03
14.12,2.94E-03
14.13,2.94E-03
14.14,2.94E-03
14.15,2.93E-03
14.16,2.93E-03
14.17,2.92E-03
14.18,2.92E-03
14.19,2.92E-03
14.2,2.91E-03
14.21,2.91E-03
14.22,2.90E-03
14.23,2.90E-03
14.24,2.90E-03
14.25,2.89E-03
14.26,2.89E-03
14.27,2.89E-03
14.28,2.88E-03
14.29,2.88E-03
14.3,2.87E-03
14.31,2.87E-03
14.32,2.87E-03
14.33,2.86E-03
14.34,2.86E-03
14.35,2.86E-03
14.36,2.85E-03
14.37,2.85E-03
14.38,2.84E-03
14.39,2.84E-03
14.4,2.84E-03
14.41,2.83E-03
14.42,2.83E-03
14.43,2.83E-03
14.44,2.82E-03
14.45,2.82E-03
14.46,2.81E-03
14.47,2.81E-03
14.48,2.81E-03
14.49,2.80E-03
14.5,2.80E-03
14.51,2.80E-03
14.52,2.79E-03
14.53,2.79E-03
14.54,2.79E-03
14.55,2.78E-03
14.56,2.78E-03
14.57,0.00277448
14.58,2.77E-03
14.59,2.77E-03
14.6,2.76E-03
14.61,2.76E-03
14.62,2.76E-03
14.63,2.75E-03
14.64,2.75E-03
14.65,2.75E-03
14.66,2.74E-03
14.67,2.74E-03
14.68,2.73E-03
14.69,2.73E-03
14.7,2.73E-03
14.71,2.72E-03
14.72,2.72E-03
14.73,2.72E-03
14.74,2.71E-03
14.75,2.71E-03
14.76,2.71E-03
14.77,2.70E-03
14.78,2.70E-03
14.79,2.70E-03
14.8,2.69E-03
14.81,2.69E-03
14.82,2.69E-03
14.83,2.68E-03
14.84,2.68E-03
14.85,2.68E-03
14.86,2.67E-03
14.87,2.67E-03
14.88,2.66E-03
14.89,2.66E-03
14.9,2.66E-03
14.91,2.65E-03
14.92,2.65E-03
14.93,2.65E-03
14.94,2.64E-03
14.95,2.64E-03
14.96,2.64E-03
14.97,2.63E-03
14.98,2.63E-03
14.99,2.63E-03
15,2.62E-03
