tempo,q
3.28,0.0247674
3.29,0.0246644
3.3,0.0245612
3.31,0.0244584
3.32,0.0243554
3.33,0.0242528
3.34,0.0241526
3.35,0.0240538
3.36,0.0239552
3.37,0.0238574
3.38,0.0237616
3.39,0.0236676
3.4,0.023575
3.41,0.0234832
3.42,0.0233922
3.43,0.0233018
3.44,0.0232118
3.45,0.0231224
3.46,0.0230332
3.47,0.0229444
3.48,0.0228554
3.49,0.0227666
3.5,0.022678
3.51,0.0225898
3.52,0.0225018
3.53,0.022414
3.54,0.0223264
3.55,0.0222388
3.56,0.022151
3.57,0.0220636
3.58,0.021977
3.59,0.0218914
3.6,0.0218068
3.61,0.021723
3.62,0.0216396
3.63,0.0215574
3.64,0.0214764
3.65,0.0213964
3.66,0.021317
3.67,0.0212372
3.68,0.0211576
3.69,0.0210796
3.7,0.0210026
3.71,0.0209264
3.72,0.0208504
3.73,0.0207748
3.74,0.0206992
3.75,0.0206238
3.76,0.0205488
3.77,0.0204742
3.78,0.0204002
3.79,0.0203262
3.8,0.0202528
3.81,0.0201802
3.82,0.020106
3.83,0.020035
3.84,0.01996512
3.85,0.01989572
3.86,0.01982656
3.87,0.01975752
3.88,0.01968852
3.89,0.01961944
3.9,0.01955034
3.91,0.01948118
3.92,0.01941194
3.93,0.01934352
3.94,0.01927596
3.95,0.01920918
3.96,0.01914314
3.97,0.0190778
3.98,0.01901308
3.99,0.0189489
4,0.01888516
4.01,0.01882176
4.02,0.01875864
4.03,0.01869572
4.04,0.01863296
4.05,0.01857018
4.06,0.01850736
4.07,0.01844486
4.08,0.01838282
4.09,0.01832114
4.1,0.01825976
4.11,0.01819858
4.12,0.01813652
4.13,0.0180748
4.14,0.01801416
4.15,0.01795428
4.16,0.01789504
4.17,0.0178364
4.18,0.01777836
4.19,0.0177209
4.2,0.01766392
4.21,0.01760738
4.22,0.0175512
4.23,0.0174953
4.24,0.01743964
4.25,0.01738418
4.26,0.0173289
4.27,0.01727344
4.28,0.01721784
4.29,0.0171628
4.3,0.01710828
4.31,0.01705414
4.32,0.01700028
4.33,0.01694662
4.34,0.01689314
4.35,0.0168397
4.36,0.01678618
4.37,0.01673284
4.38,0.01667988
4.39,0.01662724
4.4,0.01657486
4.41,0.01652292
4.42,0.01647154
4.43,0.01642072
4.44,0.01637042
4.45,0.01632058
4.46,0.01627114
4.47,0.01622206
4.48,0.0161733
4.49,0.0161248
4.5,0.01607654
4.51,0.0160285
4.52,0.0159806
4.53,0.01593282
4.54,0.01588516
4.55,0.01583762
4.56,0.01579022
4.57,0.01574296
4.58,0.01569582
4.59,0.01564882
4.6,0.01560188
4.61,0.01555502
4.62,0.01550826
4.63,0.0154616
4.64,0.01541506
4.65,0.01536864
4.66,0.01532226
4.67,0.01527598
4.68,0.01522986
4.69,0.01518388
4.7,0.01513804
4.71,0.01509224
4.72,0.015046
4.73,0.01499922
4.74,0.01495392
4.75,0.01491002
4.76,0.01486706
4.77,0.01482476
4.78,0.01478294
4.79,0.01474056
4.8,0.01469838
4.81,0.01465752
4.82,0.01461714
4.83,0.01457704
4.84,0.01453714
4.85,0.0144974
4.86,0.01445774
4.87,0.01441814
4.88,0.01437862
4.89,0.01433914
